ID,IncentiveType,NoOfOrders,Incentive,header_ID,createdAt,createdBy,modifiedAt,modifiedBy
1,KFG Driver 0.250,0,0,head002,2025-07-18T10:00:00Z,admin,2025-07-18T10:00:00Z,admin
2,PT Driver 0.150,0,0,head002,2025-07-18T10:00:00Z,admin,2025-07-18T10:00:00Z,admin
3,3rd Party 0.100,0,0,head002,2025-07-18T10:00:00Z,admin,2025-07-18T10:00:00Z,admin
4,KFG Files 0.125,0,0,head002,2025-07-18T10:00:00Z,admin,2025-07-18T10:00:00Z,admin
5,KFG Day Off 0.500,0,0,head002,2025-07-18T10:00:00Z,admin,2025-07-18T10:00:00Z,admin
6,Not Eligible 0.000,0,0,head001,2025-07-18T10:00:00Z,admin,2025-07-18T10:00:00Z,admin
7,KFG Driver 0.250,0,0,head001,2025-07-18T10:00:00Z,admin,2025-07-18T10:00:00Z,admin
8,PT Driver 0.150,0,0,head001,2025-07-18T10:00:00Z,admin,2025-07-18T10:00:00Z,admin
9,3rd Party 0.100,0,0,head001,2025-07-18T10:00:00Z,admin,2025-07-18T10:00:00Z,admin
10,KFG Files 0.125,0,0,head001,2025-07-18T10:00:00Z,admin,2025-07-18T10:00:00Z,admin
11,KFG Day Off 0.500,0,0,head001,2025-07-18T10:00:00Z,admin,2025-07-18T10:00:00Z,admin
12,Not Eligible 0.000,0,0,head001,2025-07-18T10:00:00Z,admin,2025-07-18T10:00:00Z,admin
